88074	4
06030	5
06055	7
30270	7
60543	9
06099	11
10570	11
77074	11
60910	12
88016	12
06107	13
06057	14
06084	15
06098	17
88067	17
06036	18
40212	18
06015	19
06049	19
06109	21
10723	21
06048	22
06093	22
06019	24
10630	24
30977	25
67012	27
40178	31
06090	34
06083	36
10724	38
88034	38
40719	39
10115	41
65175	41
79110	42
40916	43
40468	44
40867	45
79149	45
40565	48
40716	48
60291	48
77046	48
60506	50
65174	50
79164	50
40828	51
10013	52
40227	53
40589	54
79179	54
06103	57
88019	57
10197	59
10725	59
77071	66
89034	67
40190	68
88030	69
65149	70
40155	71
50288	72
10381	73
30241	73
40440	73
40481	74
40423	75
30848	78
40592	78
50285	79
60513	79
60953	81
79181	82
06089	83
40130	83
89046	83
10666	86
60488	86
10737	87
88023	87
10021	88
30637	88
40580	88
30648	89
30301	90
60877	91
06051	92
06092	93
40229	93
60507	94
79067	94
89014	94
30252	95
40196	95
67252	95
60485	96
06068	98
30927	98
88036	98
40199	99
60970	100
30947	102
06097	103
40554	103
89023	103
06102	104
50951	104
10387	105
40150	106
60920	106
60981	107
07023	108
50320	109
10009	110
10567	112
40443	112
88053	112
10186	113
77069	113
89040	113
10682	114
10705	114
10733	114
30636	114
88004	114
06078	115
30943	115
06058	116
10413	116
79041	116
10305	117
30657	117
10269	118
30919	118
40453	119
40915	119
06111	120
30254	120
60260	120
60486	120
60519	120
10015	121
10394	121
30300	121
40530	121
60551	121
60975	121
10701	122
10732	122
30701	122
88008	123
88045	123
06110	126
30671	126
06075	127
10410	127
30646	127
40919	128
07081	129
10611	129
30679	129
88005	129
06050	130
06101	130
10402	130
06039	131
07031	131
10591	131
10622	131
10576	132
30283	132
06088	133
10306	133
10395	133
10399	133
30644	133
30645	133
30706	133
06035	134
06094	134
30622	134
10407	135
30704	135
06010	136
06071	136
10181	136
10392	136
10717	136
10730	136
30660	136
40210	136
60987	136
10169	137
10374	137
10721	137
69001	137
07033	138
10011	138
10636	138
40848	138
79080	138
88028	138
88050	138
06073	139
30282	139
30902	139
40912	139
88072	140
06012	141
06069	141
10380	141
10745	141
79031	141
06060	142
30673	142
30719	142
60957	142
10700	143
60227	143
88052	143
89051	143
06079	144
10409	144
88040	144
88090	144
10087	145
10328	145
10651	145
30956	145
10309	146
67278	146
06056	147
60492	147
06095	148
10163	148
10093	150
40466	150
10172	151
10343	151
30904	151
40151	151
10138	152
10330	152
10331	152
10332	152
10365	152
10372	152
10390	152
30642	152
10095	153
10206	153
10802	153
30661	153
30668	153
88063	153
88065	153
88085	153
10371	154
10389	154
10400	154
10419	154
10102	155
10133	155
10367	155
10384	155
10706	155
40553	155
60516	155
